,GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birthdate,birthdate_year,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts,birth_date,homeprov,homecntry,OA
0,1019409,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,20/2/2002,2002,4,D,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,20/2/2002,,FIN,0
1,1019410,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,6,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0,0,20/2/2002,,FIN,0
2,1019411,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,20/2/2002,,FIN,0
3,1019412,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,20/2/2002,,FIN,0
4,1019413,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,4,1,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1.0,0,0,20/2/2002,,FIN,0
5,1019444,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,4,1,1,2,0,1,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1.0,0,0,20/2/2002,,FIN,0
6,1019445,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,2,1,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1.0,0,0,20/2/2002,,FIN,0
7,1019446,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,20/2/2002,,FIN,0
8,1019447,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,20/2/2002,,FIN,0
9,1019448,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,20/2/2002,,FIN,0
10,1019449,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0,0,20/2/2002,,FIN,0
11,1019450,0,A,Red Deer Rebels,28384,8705,Christoffer Sedoff,,2002,4,D,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,20/2/2002,,FIN,0
12,1019409,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,7/5/2004,2004,5,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,7/5/2004,SK,,0
13,1019410,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,7/5/2004,SK,,0
14,1019411,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,4,0,1,1,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1.0,0,0,7/5/2004,SK,,0
15,1019412,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,5,1,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0,0,7/5/2004,SK,,0
16,1019413,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,5,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,7/5/2004,SK,,0
17,1019444,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,7/5/2004,SK,,0
18,1019445,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,1,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,7/5/2004,SK,,0
19,1019446,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0.5,0,0,7/5/2004,SK,,0
20,1019447,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,6,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,7/5/2004,SK,,0
21,1019448,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0,0,7/5/2004,SK,,0
22,1019449,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,7/5/2004,SK,,0
23,1019450,0,A,Red Deer Rebels,28390,8711,Hunter Mayo,,2004,5,D,2,1,0,1,1,1,1,-2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0.333333333,0,0,7/5/2004,SK,,0
24,1019409,0,H,Red Deer Rebels,28717,9068,Matteo Fabrizi,23/3/2005,2005,6,D,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,23/3/2005,AB,Canada,0
25,1019410,0,H,Red Deer Rebels,28717,9068,Matteo Fabrizi,,2005,6,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,23/3/2005,AB,Canada,0
26,1019411,0,A,Red Deer Rebels,28717,9068,Matteo Fabrizi,,2005,6,D,1,1,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0,0,23/3/2005,AB,Canada,0
