GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birth_date,birthdate_year,OA,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts
1020216,1,H,Lethbridge Hurricanes,29212,9711,Carsen Adair,2007-02-14,2007,0,4,D,1,0,0,0,0.0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0,0
1020216,1,H,Lethbridge Hurricanes,29316,9867,Kale Tipler,2006-08-15,2006,0,6,D,2,0,0,0,0.0,0.0,0.0,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
1020216,1,H,Lethbridge Hurricanes,29124,9617,Tristen Doyle,2006-02-17,2006,0,9,D,2,0,0,0,0.0,0.0,0.0,-2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0,0
1020216,1,H,Lethbridge Hurricanes,29340,9898,Luke Cozens,2006-06-30,2006,0,11,RW,2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5,17
1020216,1,H,Lethbridge Hurricanes,28852,9260,Kooper Gizowski,2005-05-05,2005,0,12,RW,2,0,1,1,1.0,1.0,1.0,-1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2,3
1020216,1,H,Lethbridge Hurricanes,29072,9555,Miguel Marques,2006-03-08,2006,0,14,LW,4,1,1,2,2.0,2.0,2.0,+1,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3,5
1020216,1,H,Lethbridge Hurricanes,29119,9611,Trae Wilke,2006-04-20,2006,0,15,LW,1,0,1,1,0.0,0.0,0.0,-1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,5
1020216,1,H,Lethbridge Hurricanes,28913,9353,Dustin Renas,2005-07-18,2005,0,16,RW,1,1,0,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020216,1,H,Lethbridge Hurricanes,29211,9710,Will Sharpe,2007-03-07,2007,0,17,D,2,0,1,1,0.0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
1020216,1,H,Lethbridge Hurricanes,28709,9060,Logan Wormald,2005-08-12,2005,0,18,C,3,1,1,2,1.0,1.0,1.0,+1,0,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1,1
